species,region,habitat,activity,visual_pattern,threat_level,body_length_cm,weight_kg,altitude_m,temperature_c,observation_quality
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,168.66,121.21,2641.8,23.64,bonne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,118.61,40.85,0.0,20.8,moyenne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,52.41,5.88,2554.24,8.0,bonne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,64.16,5.6,2173.9,26.6,bonne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,86.3,52.93,146.55,33.97,moyenne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,157.52,117.56,3191.87,12.51,bonne
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,206.51,42.27,4260.24,16.37,moyenne
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,201.14,47.65,3824.47,18.01,faible
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,330.86,2034.05,94.54,7.8,bonne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,136.68,47.87,13.35,8.87,moyenne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,98.89,40.26,15.23,19.25,moyenne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,224.37,96.78,777.17,13.56,bonne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,230.58,135.61,792.24,28.22,bonne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,164.86,113.65,2527.7,25.0,bonne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,311.46,1523.88,506.48,10.06,bonne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,163.13,167.68,4098.2,32.83,moyenne
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,196.15,53.9,4163.53,21.05,bonne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,53.15,5.56,3038.15,24.27,moyenne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,172.84,85.11,3682.63,13.31,faible
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,74.15,6.33,3045.97,27.39,bonne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,142.2,99.36,3311.56,9.69,faible
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,252.31,87.93,905.54,24.9,bonne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,318.79,1565.15,33.44,14.42,bonne
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,198.39,55.94,3814.75,17.62,bonne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,143.99,38.17,13.91,31.15,faible
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,129.76,53.39,1368.46,28.45,bonne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,151.66,92.97,3224.57,11.53,bonne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,82.15,63.94,0.0,26.64,moyenne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,126.44,48.33,0.0,20.39,bonne
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,178.49,39.93,4576.62,18.69,bonne
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,179.18,52.96,3342.45,14.25,faible
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,237.09,88.85,996.1,18.58,moyenne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,327.93,1409.46,454.56,14.87,bonne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,60.97,80.62,37.91,8.77,bonne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,256.35,87.97,678.24,10.88,bonne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,48.86,8.66,2589.0,6.41,moyenne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,321.63,1070.42,681.32,17.85,moyenne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,129.48,34.92,0.0,23.2,bonne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,51.82,0.5,2399.43,22.01,moyenne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,151.08,32.56,64.43,21.02,bonne
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,205.96,51.86,4670.03,33.74,moyenne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,156.61,145.11,2885.4,6.15,bonne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,246.66,141.82,1028.65,6.75,bonne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,124.01,98.47,72.64,15.64,moyenne
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,166.84,54.13,4735.45,20.41,bonne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,93.94,73.16,151.56,25.51,bonne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,331.81,1008.84,525.26,32.6,moyenne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,224.33,87.48,203.17,29.95,moyenne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,59.94,5.68,3835.8,13.36,bonne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,131.57,59.58,151.19,15.82,bonne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,65.89,39.54,0.0,11.55,bonne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,218.6,88.45,394.66,30.6,bonne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,146.68,89.34,3419.14,31.96,faible
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,225.04,82.31,446.86,7.08,bonne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,136.49,42.6,0.0,19.43,faible
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,56.51,8.16,3647.03,20.39,moyenne
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,226.1,35.56,4064.43,26.64,moyenne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,135.68,30.45,0.0,28.08,moyenne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,140.41,43.8,50.2,26.95,bonne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,129.13,79.74,441.24,18.89,bonne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,248.62,74.81,1046.78,24.14,moyenne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,77.07,4.03,2295.89,10.21,moyenne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,92.14,64.22,123.71,20.8,moyenne
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,196.39,51.84,5158.23,33.78,moyenne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,65.83,7.83,2116.07,16.72,moyenne
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,186.65,55.43,3929.01,17.34,bonne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,137.29,61.77,930.0,13.8,bonne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,88.64,65.26,126.57,6.92,moyenne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,145.34,100.15,3097.73,12.84,bonne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,54.69,4.63,2761.82,21.04,bonne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,159.08,172.23,3695.96,32.72,bonne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,237.43,80.14,816.62,33.85,bonne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,142.86,90.28,658.03,8.49,faible
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,199.65,34.89,4768.77,21.12,bonne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,326.24,922.39,103.33,30.87,bonne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,136.42,100.24,2602.42,16.17,moyenne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,74.28,42.49,0.0,25.95,bonne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,146.98,62.64,1359.88,20.41,moyenne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,161.62,149.79,3790.24,7.93,moyenne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,169.37,166.3,4102.68,24.55,bonne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,113.21,85.32,767.56,5.7,bonne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,260.35,76.0,569.22,12.55,moyenne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,226.18,82.82,776.59,31.73,moyenne
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,174.41,38.5,3292.46,19.26,moyenne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,57.52,3.7,2017.31,5.84,moyenne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,154.83,116.55,2865.07,32.25,bonne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,114.6,40.6,802.1,21.06,moyenne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,248.87,106.45,179.01,7.79,moyenne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,85.01,72.47,7.82,10.99,moyenne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,66.64,67.92,0.0,17.74,faible
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,109.34,33.8,20.62,17.44,moyenne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,147.51,121.14,2640.45,16.67,bonne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,50.23,4.69,3409.81,8.12,bonne
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,197.03,52.73,4822.89,18.98,moyenne
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,184.39,37.7,3962.72,30.03,faible
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,175.76,51.44,4537.12,29.16,moyenne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,67.67,51.48,181.62,19.12,bonne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,122.93,30.47,4.11,8.61,bonne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,140.83,47.7,0.0,18.42,bonne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,45.77,8.12,2677.63,14.5,moyenne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,247.27,83.98,668.99,31.07,bonne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,157.69,93.35,4282.87,11.24,bonne
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,160.19,40.03,4353.27,18.04,moyenne
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,213.12,36.41,5300.16,18.79,moyenne
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,204.74,49.69,3963.6,24.92,moyenne
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,183.54,26.91,3047.03,14.03,bonne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,230.91,98.82,693.46,30.76,bonne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,149.14,102.84,3656.85,31.66,faible
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,170.99,50.1,4104.98,33.76,bonne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,124.8,52.64,0.0,16.52,bonne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,328.39,1121.64,418.27,31.51,moyenne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,69.01,10.77,3784.06,18.73,moyenne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,265.08,122.78,735.53,19.76,bonne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,179.66,144.99,3743.3,9.18,bonne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,176.21,126.33,3196.43,32.42,moyenne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,316.44,1142.92,270.38,32.06,moyenne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,130.29,59.23,760.04,27.3,moyenne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,237.72,77.34,846.65,28.64,moyenne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,58.24,1.11,2698.89,27.4,moyenne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,127.23,46.22,0.0,16.52,faible
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,259.61,95.91,350.75,32.43,moyenne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,171.05,146.19,3768.54,25.83,bonne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,136.85,73.19,547.71,19.33,bonne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,323.78,1462.02,301.52,20.58,moyenne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,296.12,1785.09,312.78,18.77,bonne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,327.78,1326.21,280.57,30.02,bonne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,300.63,1953.59,104.32,22.44,bonne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,141.1,54.8,83.89,8.69,bonne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,143.09,79.56,956.15,5.07,moyenne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,68.74,4.8,3499.2,15.56,moyenne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,130.05,53.85,1552.17,24.69,bonne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,222.32,107.58,413.63,8.71,moyenne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,327.92,2003.31,481.74,10.31,bonne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,239.0,107.68,1176.6,25.47,moyenne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,49.71,2.57,3082.24,32.8,moyenne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,126.93,40.53,177.73,23.18,moyenne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,54.73,4.44,1931.83,28.94,moyenne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,121.88,84.09,109.96,7.53,moyenne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,123.9,99.67,425.51,6.58,faible
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,126.95,35.36,0.0,12.22,faible
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,328.77,2292.08,326.63,21.07,bonne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,127.18,29.55,0.0,25.67,moyenne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,142.38,145.57,2393.4,27.16,moyenne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,331.13,1669.49,417.56,9.89,moyenne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,228.24,110.62,703.55,22.97,bonne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,58.11,8.05,3428.22,8.59,bonne
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,178.84,39.39,5252.62,5.8,faible
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,77.22,37.5,156.09,28.06,moyenne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,118.05,70.05,807.5,7.3,bonne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,70.25,76.82,0.0,13.22,moyenne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,246.84,115.88,757.9,31.27,bonne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,51.68,8.0,2799.21,23.55,moyenne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,141.14,30.49,0.0,34.0,bonne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,71.87,65.44,45.35,9.1,moyenne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,61.55,66.36,0.0,9.45,bonne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,138.62,60.51,1013.11,29.6,bonne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,113.53,42.87,997.02,33.0,moyenne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,331.91,1896.58,392.34,11.58,moyenne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,255.97,79.93,622.02,16.81,bonne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,110.75,39.14,546.37,16.67,bonne
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,164.95,51.38,3800.29,8.57,bonne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,138.64,41.53,20.35,25.16,bonne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,144.79,34.05,445.86,9.84,moyenne
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,169.73,38.84,4057.76,8.16,bonne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,111.98,34.59,0.0,6.35,bonne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,138.9,67.26,1139.18,19.86,bonne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,227.9,101.26,696.64,6.12,bonne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,302.72,1802.85,569.5,22.43,moyenne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,242.83,137.31,415.05,10.67,bonne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,326.36,917.04,630.04,10.33,moyenne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,302.56,2045.95,389.23,10.47,bonne
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,195.7,46.45,3852.06,20.93,faible
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,58.89,2.93,2826.79,6.31,moyenne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,240.52,117.05,93.86,18.97,bonne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,317.01,1791.4,278.55,31.62,moyenne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,59.44,8.1,3368.99,17.16,bonne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,66.39,62.11,0.0,19.96,moyenne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,64.07,60.95,0.0,9.01,bonne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,335.58,2046.89,0.0,27.39,bonne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,123.09,49.83,0.0,23.51,moyenne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,147.41,44.52,462.14,16.23,bonne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,59.8,3.54,3988.17,32.64,moyenne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,69.27,1.62,2066.99,26.61,bonne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,249.6,72.32,1102.64,9.99,bonne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,61.21,63.99,0.0,7.08,moyenne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,123.96,82.28,1486.86,13.03,moyenne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,226.33,93.22,910.6,27.64,bonne
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,225.45,29.74,3598.72,22.02,bonne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,148.46,33.17,617.1,33.41,moyenne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,64.36,2.2,2256.78,29.75,moyenne
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,231.9,40.62,3880.86,32.8,bonne
Panda roux,Himalaya,forêt tempérée,crépusculaire,roux et blanc,en danger,55.69,4.39,3585.55,23.63,bonne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,70.37,49.58,29.48,17.09,bonne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,330.12,1741.84,289.06,23.87,bonne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,144.75,154.81,3846.54,31.95,bonne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,139.78,127.56,3364.94,16.72,bonne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,308.37,1234.59,80.2,26.59,bonne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,155.6,35.58,49.38,13.32,faible
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,297.2,965.71,464.74,30.98,moyenne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,339.16,902.18,215.09,31.46,bonne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,308.52,1142.38,73.19,9.53,moyenne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,159.53,91.5,2272.12,12.67,faible
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,316.55,1902.19,460.0,27.84,moyenne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,143.68,178.68,2718.09,21.1,bonne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,78.87,73.98,0.0,5.95,faible
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,243.92,111.78,358.23,14.13,bonne
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,166.26,44.41,4444.6,29.5,bonne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,320.14,1071.79,429.62,29.28,faible
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,126.34,39.99,993.01,28.25,bonne
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,119.34,51.45,89.96,16.06,moyenne
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,161.66,42.8,3285.66,12.1,faible
Vaquita,Golfe de Californie,mer côtière,diurne,gris avec taches,critique,124.56,32.06,7.68,11.08,faible
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,239.79,82.8,547.32,30.38,bonne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,226.59,125.23,72.44,10.09,bonne
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,219.18,56.19,3771.64,13.59,bonne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,128.95,73.69,1157.3,25.04,bonne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,306.8,1981.98,522.14,8.02,moyenne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,316.87,1785.51,7.12,9.25,bonne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,145.47,76.45,2252.4,21.2,moyenne
Tortue imbriquée,océans tropicaux,récif corallien,diurne,carapace écailleuse,critique,80.52,48.25,155.79,25.79,moyenne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,173.51,117.35,2957.01,12.0,faible
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,243.98,100.03,977.77,26.36,moyenne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,258.21,133.04,763.97,33.81,moyenne
Léopard des neiges,Asie centrale,montagne rocheuse,crépusculaire,rosettes grises,vulnérable,174.79,29.74,3601.48,5.29,bonne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,296.23,1551.66,494.25,28.63,bonne
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,237.4,78.44,504.71,6.01,bonne
Orang-outan de Bornéo,Bornéo,forêt tropicale,diurne,pelage orangé,critique,151.41,70.95,1210.83,25.75,faible
Tigre de Sumatra,Sumatra,forêt tropicale,nocturne,rayures noires,critique,233.43,86.24,1109.91,29.19,bonne
Rhinocéros de Java,Java,forêt humide,crépusculaire,peau grise,critique,324.93,1471.14,164.31,18.76,moyenne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,151.66,155.09,3520.26,20.14,bonne
Gorille des montagnes,Afrique centrale,forêt montagneuse,diurne,pelage sombre,en danger,147.55,168.49,3615.89,17.14,moyenne
